Date, Open, High, Low, Close,,Monthly Average (Close),,,Monthly Return,,
4/24/2020,1419.64,1422.47,1410.58,1421.29,,,,,,,
4/23/2020,1415.38,1425.98,1411.52,1425.98,,,,,,,
4/22/2020,1405.62,1412.45,1392.58,1406.9,,,,,,,
4/21/2020,1420.33,1427.35,1410.4,1415.89,,,,,,,
4/20/2020,1432.79,1439.16,1430.34,1432.41,,,,,,,
4/17/2020,1438.37,1456.04,1431.53,1442.54,,,,,,,
4/16/2020,1416.83,1424.65,1407.92,1422.24,,,,,,,
4/15/2020,1430.08,1439.54,1424,1434.07,,,,,,,
4/14/2020,1409.99,1436.3,1406.67,1433.51,,,,,,,
4/13/2020,1419.67,1423.62,1404.52,1405.91,,,,,,,
4/10/2020,1417.05,1431.4,1399.82,1430.04,,,,,,,
4/9/2020,1424.4,1424.4,1400.28,1416.98,,,,,,,
4/8/2020,1408.61,1431.9,1393.5,1425.47,,,,,,,
4/7/2020,1397.71,1415.09,1375.38,1403.21,,,,,,,
4/6/2020,1328.43,1383.1,1325.41,1376.3,,,,,,,
4/3/2020,1335.82,1349.53,1314.11,1325.13,,,,,,,
4/2/2020,1339.19,1347.34,1326.74,1329.87,,,,,,,
4/1/2020,1388.66,1396.74,1339.3,1351.08,,,,,,,
3/31/2020,1436.4,1440.38,1399.06,1403.04,,,,,,,
3/30/2020,1418.07,1435.54,1392.23,1435.54,,,,,,,
3/27/2020,1424.92,1459.49,1417.45,1459.49,,,,,,,
3/26/2020,1404.8,1411.65,1381.01,1399.32,,,,,,,
3/25/2020,1357.12,1424.62,1356.75,1424.62,,,,,,,
3/24/2020,1311.83,1336.27,1308.36,1333.1,,,,,,,
3/23/2020,1278.86,1296.98,1261.62,1292.01,,,,,,,
3/19/2020,1289.8,1313.07,1272.98,1283.22,,,,,,,
3/18/2020,1279.27,1313.83,1269.38,1270.84,,,,,,,
3/17/2020,1216.92,1280.63,1199.25,1268.46,,,,,,,
3/16/2020,1268.39,1288.47,1231.67,1236.34,,,,,,,
3/13/2020,1300.31,1304.23,1202.94,1261.7,,,,,,,
3/12/2020,1360.61,1363.48,1313.15,1327.88,,,,,,,
3/11/2020,1403.11,1422.01,1384.23,1385.12,,,,,,,
3/10/2020,1371.74,1414.85,1330.99,1406.68,,,,,,,
3/9/2020,1442.62,1443.16,1378.43,1388.97,,,,,,,
3/6/2020,1492.34,1493.57,1464.55,1471.46,,,,,,,
3/5/2020,1522.23,1522.23,1508.27,1515.71,,,,,,,
3/4/2020,1488.93,1513.64,1485.11,1502.5,,,,,,,
3/3/2020,1547.29,1551.99,1505.12,1505.12,,,,,,,
3/2/2020,1488.96,1541.67,1488.89,1525.87,,,,,,,
2/28/2020,1537.61,1538.54,1500.87,1510.87,,,,,,,
2/27/2020,1594.22,1595.23,1561.25,1568.06,,,,,,,
2/26/2020,1602.49,1608.86,1587.35,1606.17,,,,,,,
2/25/2020,1641.63,1641.66,1603.12,1618.26,,,,,,,
2/21/2020,1673.01,1684.5,1672.95,1674,,,,,,,
2/20/2020,1686.25,1692.55,1672.38,1674.48,,,,,,,
2/19/2020,1674.38,1678.02,1667.91,1671.86,,,,,,,
2/18/2020,1678.87,1680.43,1661.67,1665.71,,,,,,,
2/17/2020,1688.24,1690.16,1676.7,1687.77,,,,,,,
2/14/2020,1704.04,1704.7,1698.36,1702.87,,,,,,,
2/13/2020,1715.6,1717.1,1708.98,1713.08,,,,,,,
2/12/2020,1721.26,1721.92,1710.68,1718.92,,,,,,,
2/10/2020,1717.67,1726.08,1716.37,1719.64,,,,,,,
2/7/2020,1739.28,1740.09,1728.35,1732.14,,,,,,,
2/6/2020,1722.95,1744.43,1722.28,1736.98,,,,,,,
2/5/2020,1701.79,1706.69,1696.03,1701.83,,,,,,,
2/4/2020,1667.25,1685.96,1666.59,1684.24,,,,,,,
2/3/2020,1660.66,1677.23,1656.33,1672.66,,,,,,,
1/31/2020,1684.52,1699.19,1683.34,1684.44,,,,,,,
1/30/2020,1693.65,1695.79,1667.3,1674.77,,,,,,,
1/29/2020,1695.65,1700.3,1689.76,1699.95,,,,,,,
1/28/2020,1687.53,1695.72,1684.75,1692.28,,,,,,,
1/27/2020,1702.98,1708.95,1697.17,1702.57,,,,,,,
1/24/2020,1733.72,1733.95,1726.32,1730.44,,,,,,,
1/23/2020,1733.71,1736.92,1729.2,1730.5,,,,,,,
1/22/2020,1732.48,1744.82,1732.26,1744.13,,,,,,,
1/21/2020,1743.78,1744.46,1732.15,1734.97,,,,,,,
1/20/2020,1741.04,1745.95,1740.78,1744.16,,,,,,,
1/17/2020,1737.23,1737.66,1732.88,1735.44,,,,,,,
1/16/2020,1733.27,1733.87,1726.71,1728.72,,,,,,,
1/15/2020,1733.79,1738.45,1727.38,1731.06,,,,,,,
1/14/2020,1740.91,1742.05,1734.83,1740.53,,,,,,,
1/10/2020,1734.22,1739.38,1731.27,1735.16,,,,,,,
1/9/2020,1722.19,1731.67,1721.04,1729.05,,,,,,,
1/8/2020,1701.87,1706.52,1683.76,1701.4,,,,,,,
1/7/2020,1705.54,1726.28,1705.23,1725.05,,,,,,,
1/6/2020,1699.6,1703.87,1690.29,1697.49,,,,,,,
12/30/2019,1727.39,1727.85,1718.17,1721.36,,,,,,,
12/27/2019,1735.4,1738.18,1731.97,1733.18,,,,,,,
12/26/2019,1721.59,1731.2,1720.99,1731.2,,,,,,,
12/25/2019,1727.08,1728.04,1720.64,1721.42,,,,,,,
12/24/2019,1730.83,1732.54,1726.55,1728.22,,,,,,,
12/23/2019,1737.5,1737.7,1728.1,1729.42,,,,,,,
12/20/2019,1736.98,1738.35,1727.13,1733.07,,,,,,,
12/19/2019,1736.73,1741.24,1732.38,1736.11,,,,,,,
12/18/2019,1745.69,1746.29,1736.3,1738.4,,,,,,,
12/17/2019,1746.28,1747.2,1738.68,1747.2,,,,,,,
12/16/2019,1737.86,1741.98,1736.87,1736.87,,,,,,,
12/13/2019,1738.45,1744.82,1735.04,1739.98,,,,,,,
12/12/2019,1718.99,1719.21,1708.56,1712.83,,,,,,,
12/11/2019,1720.33,1721.82,1712.11,1714.95,,,,,,,
12/10/2019,1720.67,1724.08,1719.14,1720.77,,,,,,,
12/9/2019,1726.1,1726.2,1713.65,1722.07,,,,,,,
12/6/2019,1713.08,1716.52,1709.49,1713.36,,,,,,,
12/5/2019,1711.94,1714.32,1706.68,1711.41,,,,,,,
12/4/2019,1695.73,1703.33,1691.15,1703.27,,,,,,,
12/3/2019,1695.91,1707.15,1692.86,1706.73,,,,,,,
12/2/2019,1705.99,1717.35,1705.23,1714.49,,,,,,,
11/29/2019,1712.21,1712.83,1698.01,1699.36,,,,,,,
11/28/2019,1712.02,1713.4,1703.54,1708.06,,,,,,,
11/27/2019,1710.43,1714.6,1709.21,1710.98,,,,,,,
11/26/2019,1712.61,1719.57,1705.04,1705.71,,,,,,,
11/25/2019,1702.98,1705.98,1699.8,1702.96,,,,,,,
11/22/2019,1689.56,1698.53,1688.79,1691.34,,,,,,,
11/21/2019,1686.85,1690.85,1665.89,1689.38,,,,,,,
11/20/2019,1689.25,1697.27,1684.17,1691.11,,,,,,,
11/19/2019,1696.86,1700.51,1691.02,1696.73,,,,,,,
11/18/2019,1696.09,1700.72,1693.64,1700.72,,,,,,,
11/15/2019,1686.57,1699.55,1684.53,1696.67,,,,,,,
11/14/2019,1697.84,1699.92,1680.04,1684.4,,,,,,,
11/13/2019,1706.55,1707.48,1699.56,1700.33,,,,,,,
11/12/2019,1702.55,1711.07,1698.93,1709.67,,,,,,,
11/11/2019,1708.12,1711.22,1701.78,1704.03,,,,,,,
11/8/2019,1711.66,1713.79,1698.25,1702.77,,,,,,,
11/7/2019,1693.75,1699.43,1692.21,1698.13,,,,,,,
11/6/2019,1701.35,1701.35,1689.04,1694.45,,,,,,,
11/5/2019,1682.85,1697.39,1680.91,1694.16,,,,,,,
11/1/2019,1653.8,1666.5,1653.72,1666.5,,,,,,,
10/31/2019,1666.36,1669.91,1660.35,1667.01,,,,,,,
10/30/2019,1663.85,1666.35,1659.2,1665.9,,,,,,,
10/29/2019,1657.26,1664.43,1656.78,1662.68,,,,,,,
10/28/2019,1651.13,1652.75,1648.09,1648.43,,,,,,,
10/25/2019,1646.42,1648.62,1641.76,1648.44,,,,,,,
10/24/2019,1646.6,1647.96,1643.24,1643.74,,,,,,,
10/23/2019,1632.82,1638.51,1620.04,1638.14,,,,,,,
10/21/2019,1626.18,1630.95,1625.35,1628.6,,,,,,,
10/18/2019,1628.22,1633.36,1619.76,1621.99,,,,,,,
10/17/2019,1628.58,1630.57,1624.03,1624.16,,,,,,,
10/16/2019,1637.58,1646.09,1627.81,1631.51,,,,,,,
10/15/2019,1615.4,1623.77,1612.27,1620.2,,,,,,,
10/11/2019,1593.54,1596.58,1587.36,1595.27,,,,,,,
10/10/2019,1578.79,1583.05,1565.04,1581.42,,,,,,,
10/9/2019,1570.7,1581.95,1570.7,1581.7,,,,,,,
10/8/2019,1580.5,1588.19,1579.98,1586.5,,,,,,,
10/7/2019,1576.33,1578.75,1569.16,1572.75,,,,,,,
10/4/2019,1564.68,1572.96,1561,1572.9,,,,,,,
10/3/2019,1569.83,1571.04,1560.83,1568.87,,,,,,,
10/2/2019,1590.31,1597.14,1589.73,1596.29,,,,,,,
10/1/2019,1595.35,1607.65,1595.35,1603,,,,,,,
9/30/2019,1593.18,1596.21,1583.02,1587.8,,,,,,,
9/27/2019,1612.1,1613.02,1590.82,1604.25,,,,,,,
9/26/2019,1633.91,1635.88,1618.88,1623.27,,,,,,,
9/25/2019,1614.78,1621.59,1611.47,1620.08,,,,,,,
9/24/2019,1618.02,1629.06,1617.96,1622.94,,,,,,,
9/20/2019,1622.3,1625.17,1613.7,1616.23,,,,,,,
9/19/2019,1613.75,1626.52,1612.03,1615.66,,,,,,,
9/18/2019,1613.31,1614.1,1602.45,1606.62,,,,,,,
9/17/2019,1605.64,1619.13,1601.73,1614.58,,,,,,,
9/13/2019,1602.18,1610.98,1593.23,1609.87,,,,,,,
9/12/2019,1592.83,1600.62,1588.52,1595.1,,,,,,,
9/11/2019,1563.99,1583.66,1563.47,1583.66,,,,,,,
9/10/2019,1556.24,1561.52,1554.87,1557.99,,,,,,,
9/9/2019,1538.49,1551.11,1538.13,1551.11,,,,,,,
9/6/2019,1541.05,1542.38,1535.81,1537.1,,,,,,,
9/5/2019,1516.01,1540.59,1515.73,1534.46,,,,,,,
9/4/2019,1505.66,1510.79,1501.11,1506.81,,,,,,,
9/3/2019,1502.57,1514.05,1502.47,1510.79,,,,,,,
9/2/2019,1506.12,1509.33,1504.59,1505.21,,,,,,,
